City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Abha,2022-06-01,642938.0,4,abha,723274.0,580202.0,621547.0,515128.0,703344.0,641674.3333333334,73629.01232756906,599618.3333333334,77453.42997870817,634953.6666666666,106821.96905925752,6,1.2246467991473532e-16,-1.0,2022,30
Abha,2022-07-01,1043379.0,5,abha,642938.0,723274.0,580202.0,632814.0,727460.0,648804.6666666666,71716.19502827319,620920.0,66348.44407218594,629919.8333333334,104708.55741692432,7,-0.4999999999999997,-0.8660254037844388,2022,31
Abha,2022-08-01,855912.0,4,abha,1043379.0,642938.0,723274.0,524745.0,862666.0,803197.0,211846.67348580196,689347.5,185605.3787267492,656246.4166666666,157745.48904857546,8,-0.8660254037844384,-0.5000000000000004,2022,32
Abha,2022-09-01,620748.0,4,abha,855912.0,1043379.0,642938.0,621547.0,553465.0,847409.6666666666,200355.8481161289,744542.0,175851.03680899928,655683.5833333334,156952.08645690008,9,-1.0,-1.8369701987210297e-16,2022,33
Abha,2022-10-01,734873.0,5,abha,620748.0,855912.0,1043379.0,580202.0,664155.0,840013.0,211763.60450039565,744408.8333333334,175963.07211732434,661290.5,154145.1906792601,10,-0.8660254037844386,0.5000000000000001,2022,34
Abha,2022-11-01,555122.0,4,abha,734873.0,620748.0,855912.0,723274.0,510644.0,737177.6666666666,117598.93851703478,770187.3333333334,157451.50070757244,667183.6666666666,155609.52409817532,11,-0.5000000000000004,0.8660254037844384,2022,35
Abha,2022-12-01,561684.0,4,abha,555122.0,734873.0,620748.0,642938.0,515128.0,636914.3333333334,90959.43189319801,742162.0,180717.78898713877,670890.1666666666,152030.45630269632,12,-2.4492935982947064e-16,1.0,2022,36
Abha,2023-01-01,673608.0,5,abha,561684.0,555122.0,734873.0,1043379.0,632814.0,617226.3333333334,101937.81729237353,728619.6666666666,192312.83568047834,674769.8333333334,148241.01033350037,1,0.49999999999999994,0.8660254037844387,2023,37
Abha,2023-02-01,581510.0,4,abha,673608.0,561684.0,555122.0,855912.0,524745.0,596804.6666666666,66594.51155563297,666991.1666666666,114965.68819681222,678169.3333333334,147658.00390665236,2,0.8660254037844386,0.5000000000000001,2023,38
Abha,2023-03-01,599734.0,4,abha,581510.0,673608.0,561684.0,620748.0,621547.0,605600.6666666666,59724.497564511454,621257.5,70925.43450624718,682899.75,143136.05284174083,3,1.0,6.123233995736766e-17,2023,39
Abha,2023-04-01,752421.0,5,abha,599734.0,581510.0,673608.0,734873.0,580202.0,618284.0,48770.7625119805,617755.1666666666,71472.35791385802,681082.0,144121.14768611727,4,0.8660254037844387,-0.4999999999999998,2023,40
Abha,2023-05-01,639395.0,4,abha,752421.0,599734.0,581510.0,555122.0,723274.0,644555.0,93858.05245688833,620679.8333333334,77341.40865129512,695433.5833333334,141717.01011167435,5,0.49999999999999994,-0.8660254037844387,2023,41
Abha,2023-06-01,705888.0,4,abha,639395.0,752421.0,599734.0,561684.0,642938.0,663850.0,79226.6701370189,634725.3333333334,70394.9415673217,688443.6666666666,142286.4419870471,6,1.2246467991473532e-16,-1.0,2023,42
Abha,2023-07-01,1155568.0,5,abha,705888.0,639395.0,752421.0,673608.0,1043379.0,699234.6666666666,56805.97945932572,658759.3333333334,64869.91414721199,693689.5,141615.05478681534,7,-0.4999999999999997,-0.8660254037844388,2023,43
Abha,2023-08-01,818965.0,4,abha,1155568.0,705888.0,639395.0,581510.0,855912.0,833617.0,280792.92114118545,739086.0,213974.1371820437,703038.5833333334,168037.65790249532,8,-0.8660254037844384,-0.5000000000000004,2023,44
