province,province_key,month_num,mean_occupancy,seasonality_score
Makkah Al-Mokarramah,makkah al mokarramah,10,0.44401346516477386,0.24572252117859947
Makkah Al-Mokarramah,makkah al mokarramah,11,0.502075269154445,0.9065865783832202
Makkah Al-Mokarramah,makkah al mokarramah,12,0.5069996193771393,0.9626359231098356
Najran,najran,1,0.45784861011056366,0.3056173609501283
Najran,najran,2,0.4671832675898746,0.37430333129246945
Najran,najran,3,0.44546923090033363,0.2145278190815584
Najran,najran,4,0.4163141690888901,0.0
Najran,najran,5,0.4567430102846028,0.2974821725916101
Najran,najran,6,0.457653509201612,0.3041817758442241
Najran,najran,7,0.5066179843125609,0.6644705698093983
Najran,najran,8,0.5522175774965404,1.0
Najran,najran,9,0.5111895035524464,0.6981085726634032
Najran,najran,10,0.4883818661182455,0.530286163340246
Najran,najran,11,0.4819998712331281,0.48332637800525097
Najran,najran,12,0.46236077465809217,0.3388186220545886
Northern Borders,northern borders,1,0.4214356757584473,0.7858914688211834
Northern Borders,northern borders,2,0.4506200875393121,1.0
Northern Borders,northern borders,3,0.386387426857191,0.5287634804627628
Northern Borders,northern borders,4,0.31431346014719336,0.0
Northern Borders,northern borders,5,0.3594845007153774,0.33139284151047704
Northern Borders,northern borders,6,0.35424353953217197,0.2929430516251433
Northern Borders,northern borders,7,0.3932281828469655,0.5789500056571348
Northern Borders,northern borders,8,0.41409316645739125,0.7320238804174768
Northern Borders,northern borders,9,0.398002200775535,0.613974112847726
Northern Borders,northern borders,10,0.4061445400186513,0.6737095739833969
Northern Borders,northern borders,11,0.4259101827832705,0.8187182440883256
Northern Borders,northern borders,12,0.4162963612773551,0.7481873998450819
Tabouk,tabouk,1,0.5090037808249749,0.41803747622059323
Tabouk,tabouk,2,0.5014513193116996,0.36517570270776767
Tabouk,tabouk,3,0.5255493267098983,0.5338443423234548
Tabouk,tabouk,4,0.44927797632663097,0.0
Tabouk,tabouk,5,0.5561455888452489,0.7479960697430548
Tabouk,tabouk,6,0.5513060876479499,0.7141230581749725
Tabouk,tabouk,7,0.5715003178737179,0.8554680782831867
Tabouk,tabouk,8,0.5921498667569218,1.0
Tabouk,tabouk,9,0.5594932388824472,0.7714272011371736
Tabouk,tabouk,10,0.5650232056980994,0.8101329731333127
Tabouk,tabouk,11,0.5896713590598385,0.9826522369822449
Tabouk,tabouk,12,0.5369842186895366,0.6138803238254813
