Starting date;Indicator;Sectors;City;value (Multiple units)
2024-01-14;Number of Transactions (In Thousand);Gas Stations;Total;13428.0
2024-01-14;Number of Transactions Change %;Health;Total;-8.814062886853181
2024-01-14;Number of Transactions Change %;Miscellaneous Goods and Services;Total;-12.44029718733416
2024-01-14;Number of Transactions Change %;Recreation and Culture;Total;-5.979643765903308
2024-01-14;Number of Transactions Change %;Restaurants & Café;Total;-9.970253904175078
2024-01-14;Value of Transactions Change %;Electronic & Electric Devices;Total;-5.429182292944517
2024-01-14;Value of Transactions Change %;Public Utilities;Total;-9.712408110577448
2024-01-14;Number of Transactions (In Thousand);Total;TABOUK;3598.0
2024-01-14;Number of Transactions (In Thousand);Total;RIYADH;54819.0
2024-01-14;Number of Transactions Change %;Total;BURAIDAH;-11.286325749042577
2024-01-14;Value of Transactions (In Thousand SAR);Total;KHOBAR;310120.0
2024-01-14;Value of Transactions (In Thousand SAR);Total;MADINA;419621.0
2024-01-14;Value of Transactions Change %;Total;MAKKAH;-19.048904631289464
2024-01-14;Value of Transactions (In Thousand SAR);Gas Stations;Total;733847.0
2024-01-14;Value of Transactions (In Thousand SAR);Furniture;Total;244944.0
2024-01-14;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;1602436.0
2024-01-14;Value of Transactions (In Thousand SAR);Beverage and Food;Total;1665378.0
2024-01-14;Value of Transactions Change %;Jewelry;Total;-12.924086478244295
2024-01-14;Value of Transactions Change %;Restaurants & Café;Total;-20.650390722682218
2024-01-14;Value of Transactions Change %;Telecommunication;Total;-10.92501504680074
2024-01-14;Value of Transactions Change %;Total;Total;-14.087598376331414
2024-01-14;Number of Transactions (In Thousand);Total;HAIL;2862.0
2024-01-14;Number of Transactions (In Thousand);Hotels;Total;637.0
2024-01-14;Number of Transactions (In Thousand);Jewelry;Total;174.0
2024-01-14;Number of Transactions (In Thousand);Telecommunication;Total;670.0
2024-01-14;Number of Transactions (In Thousand);Other;Total;24226.0
2024-01-14;Number of Transactions (In Thousand);Total;Total;172823.0
2024-01-14;Number of Transactions Change %;Clothing and Footwear;Total;-29.795854760791645
2024-01-14;Number of Transactions Change %;Jewelry;Total;-25.321888412017167
2024-01-14;Number of Transactions Change %;Beverage and Food;Total;-4.678550153507767
2024-01-14;Number of Transactions Change %;Transportation;Total;-15.839764792355751
2024-01-14;Number of Transactions Change %;Other;Total;-11.46438621496181
2024-01-14;Number of Transactions (In Thousand);Total;ABHA;2491.0
2024-01-14;Number of Transactions (In Thousand);Total;BURAIDAH;3938.0
2024-01-14;Number of Transactions (In Thousand);Total;KHOBAR;3961.0
2024-01-14;Number of Transactions (In Thousand);Total;MADINA;7093.0
2024-01-14;Number of Transactions (In Thousand);Total;DAMMAM;7269.0
2024-01-14;Number of Transactions (In Thousand);Total;JEDDAH;21120.0
2024-01-14;Number of Transactions (In Thousand);Total;OTHER;58341.0
2024-01-14;Number of Transactions Change %;Total;RIYADH;-7.143099125957043
2024-01-14;Number of Transactions Change %;Total;OTHER;-10.864450284177718
2024-01-14;Value of Transactions (In Thousand SAR);Total;HAIL;156103.0
2024-01-14;Value of Transactions (In Thousand SAR);Total;DAMMAM;537509.0
2024-01-14;Value of Transactions (In Thousand SAR);Total;JEDDAH;1537144.0
2024-01-14;Value of Transactions Change %;Total;RIYADH;-10.263977573396897
2024-01-14;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;339819.0
2024-01-14;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;188874.0
2024-01-14;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1261295.0
2024-01-14;Value of Transactions (In Thousand SAR);Other;Total;1577990.0
2024-01-14;Value of Transactions (In Thousand SAR);Total;Total;10607691.0
2024-01-14;Value of Transactions Change %;Recreation and Culture;Total;-18.61981242361443
2024-01-14;Value of Transactions Change %;Transportation;Total;-10.306342318334323
2024-01-14;Number of Transactions (In Thousand);Total;MAKKAH;7332.0
2024-01-14;Number of Transactions Change %;Total;KHOBAR;-8.267716535433072
2024-01-14;Value of Transactions (In Thousand SAR);Total;TABOUK;190077.0
2024-01-14;Value of Transactions (In Thousand SAR);Total;BURAIDAH;255774.0
2024-01-14;Value of Transactions Change %;Total;HAIL;-20.27751675110312
2024-01-14;Value of Transactions Change %;Total;ABHA;-5.632502308402586
2024-01-14;Value of Transactions Change %;Total;BURAIDAH;-11.531477311639392
2024-01-14;Value of Transactions Change %;Total;KHOBAR;-13.259212642472553
2024-01-14;Number of Transactions (In Thousand);Clothing and Footwear;Total;4505.0
2024-01-14;Number of Transactions (In Thousand);Recreation and Culture;Total;2217.0
2024-01-14;Number of Transactions Change %;Public Utilities;Total;-5.9824046920821115
2024-01-14;Number of Transactions Change %;Telecommunication;Total;-16.25
2024-01-14;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;563337.0
2024-01-07;Number of Transactions (In Thousand);Clothing and Footwear;Total;6417.0
2024-01-07;Number of Transactions (In Thousand);Hotels;Total;932.0
2024-01-07;Number of Transactions (In Thousand);Recreation and Culture;Total;2358.0
2024-01-07;Number of Transactions (In Thousand);Beverage and Food;Total;43646.0
2024-01-07;Number of Transactions (In Thousand);Other;Total;27363.0
2024-01-07;Number of Transactions Change %;Electronic & Electric Devices;Total;-8.622222222222224
2024-01-07;Number of Transactions Change %;Furniture;Total;-11.293781272337384
2024-01-07;Number of Transactions Change %;Recreation and Culture;Total;-15.635062611806799
2024-01-07;Number of Transactions Change %;Restaurants & Café;Total;-1.444874882211287
2024-01-07;Number of Transactions Change %;Transportation;Total;-6.910708176530961
2024-01-07;Number of Transactions Change %;Other;Total;-3.143251566316237
2024-01-07;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;787409.0
2024-01-07;Number of Transactions Change %;Total;BURAIDAH;-3.4580252283601567
2024-01-07;Number of Transactions Change %;Total;KHOBAR;-1.7519908987485777
2024-01-07;Number of Transactions Change %;Total;DAMMAM;-5.3984575835475574
2024-01-07;Number of Transactions Change %;Total;RIYADH;-3.3669978557281524
2024-01-07;Value of Transactions (In Thousand SAR);Total;HAIL;195808.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;JEDDAH;1823961.0
2024-01-07;Value of Transactions Change %;Total;TABOUK;-14.336051182143974
2024-01-07;Value of Transactions Change %;Total;JEDDAH;-2.9843585527977963
2024-01-07;Value of Transactions (In Thousand SAR);Gas Stations;Total;832200.0
2024-01-07;Value of Transactions (In Thousand SAR);Health;Total;751817.0
2024-01-07;Value of Transactions Change %;Clothing and Footwear;Total;-16.45013698455714
2024-01-07;Value of Transactions Change %;Education;Total;-50.44689211474642
2024-01-07;Value of Transactions Change %;Miscellaneous Goods and Services;Total;-9.17736590186057
2024-01-07;Value of Transactions Change %;Transportation;Total;-9.99327425118646
2024-01-07;Value of Transactions (In Thousand SAR);Public Utilities;Total;119301.0
2024-01-07;Value of Transactions (In Thousand SAR);Jewelry;Total;220356.0
2024-01-07;Value of Transactions (In Thousand SAR);Transportation;Total;666444.0
2024-01-07;Value of Transactions (In Thousand SAR);Other;Total;1891099.0
2024-01-07;Value of Transactions Change %;Furniture;Total;-16.882165751441764
2024-01-07;Value of Transactions Change %;Public Utilities;Total;-3.9653215484556497
2024-01-07;Value of Transactions Change %;Restaurants & Café;Total;1.4187332043332381
2024-01-07;Value of Transactions Change %;Other;Total;-7.587675939504615
2024-01-07;Number of Transactions (In Thousand);Total;MADINA;8423.0
2024-01-07;Number of Transactions Change %;Total;MADINA;0.19031759248245508
2024-01-07;Value of Transactions Change %;Total;BURAIDAH;-9.05078582124297
2024-01-07;Number of Transactions (In Thousand);Construction & Building Materials;Total;1554.0
2024-01-07;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1028.0
2024-01-07;Number of Transactions (In Thousand);Gas Stations;Total;14409.0
2024-01-07;Number of Transactions (In Thousand);Health;Total;8078.0
2024-01-07;Number of Transactions (In Thousand);Restaurants & Café;Total;56478.0
2024-01-07;Number of Transactions (In Thousand);Transportation;Total;2721.0
2024-01-07;Number of Transactions (In Thousand);Total;Total;191673.0
2024-01-07;Value of Transactions Change %;Total;MADINA;-6.491760884194356
2024-01-07;Number of Transactions (In Thousand);Furniture;Total;1241.0
2024-01-07;Number of Transactions (In Thousand);Jewelry;Total;233.0
2024-01-07;Number of Transactions Change %;Construction & Building Materials;Total;-3.65778053316801
2024-01-07;Number of Transactions Change %;Miscellaneous Goods and Services;Total;-3.243474540008558
2024-01-07;Number of Transactions Change %;Telecommunication;Total;-9.502262443438914
2024-01-07;Number of Transactions Change %;Total;Total;-3.2018099821728874
2024-01-07;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;301104.0
2024-01-07;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;2019463.0
2024-01-07;Value of Transactions (In Thousand SAR);Beverage and Food;Total;1834528.0
2024-01-07;Value of Transactions Change %;Electronic & Electric Devices;Total;-16.965874507325672
2024-01-07;Value of Transactions Change %;Gas Stations;Total;-2.5126252124702306
2024-01-07;Value of Transactions Change %;Hotels;Total;11.243244402504933
2024-01-07;Value of Transactions Change %;Recreation and Culture;Total;-13.433076118081349
2024-01-07;Value of Transactions Change %;Beverage and Food;Total;-7.55218346365866
2024-01-07;Value of Transactions Change %;Telecommunication;Total;-15.157331267278265
2024-01-07;Value of Transactions Change %;Total;Total;-7.814871197963836
2024-01-07;Number of Transactions (In Thousand);Total;TABOUK;3837.0
2024-01-07;Number of Transactions (In Thousand);Total;MAKKAH;8581.0
2024-01-07;Number of Transactions (In Thousand);Total;KHOBAR;4318.0
2024-01-07;Number of Transactions (In Thousand);Total;OTHER;65452.0
2024-01-07;Number of Transactions Change %;Total;MAKKAH;-0.8320813590662198
2024-01-07;Number of Transactions Change %;Total;JEDDAH;0.5405405405405406
2024-01-07;Value of Transactions (In Thousand SAR);Total;ABHA;131043.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;BURAIDAH;289113.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;DAMMAM;592645.0
2024-01-07;Value of Transactions Change %;Total;HAIL;-11.314020689530228
2024-01-07;Value of Transactions Change %;Total;ABHA;-14.93089591867206
2024-01-07;Value of Transactions Change %;Total;MAKKAH;-7.597896550462499
2024-01-07;Value of Transactions (In Thousand SAR);Education;Total;97356.0
2024-01-07;Value of Transactions (In Thousand SAR);Furniture;Total;289403.0
2024-01-07;Value of Transactions (In Thousand SAR);Hotels;Total;414964.0
2024-01-07;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1477954.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;Total;12347101.0
2024-01-07;Number of Transactions (In Thousand);Total;HAIL;3364.0
2024-01-07;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;22612.0
2024-01-07;Number of Transactions Change %;Education;Total;-26.515151515151516
2024-01-07;Number of Transactions Change %;Health;Total;-4.706853839801816
2024-01-07;Number of Transactions Change %;Hotels;Total;18.877551020408163
2024-01-07;Number of Transactions Change %;Beverage and Food;Total;-2.528027156192773
2024-01-07;Number of Transactions (In Thousand);Total;BURAIDAH;4439.0
2024-01-07;Number of Transactions (In Thousand);Total;DAMMAM;7728.0
2024-01-07;Number of Transactions (In Thousand);Total;JEDDAH;23994.0
2024-01-07;Number of Transactions Change %;Total;OTHER;-4.143173064249205
2024-01-07;Value of Transactions (In Thousand SAR);Total;TABOUK;213699.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;MAKKAH;555612.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;OTHER;3553548.0
2024-01-07;Value of Transactions Change %;Total;KHOBAR;-7.828012653104367
2024-01-07;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;347619.0
2024-01-07;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;199717.0
2024-01-07;Value of Transactions (In Thousand SAR);Telecommunication;Total;96366.0
2024-01-07;Value of Transactions Change %;Construction & Building Materials;Total;-7.276379175135637
2024-01-07;Value of Transactions Change %;Health;Total;-9.780841282431902
2024-01-07;Value of Transactions Change %;Jewelry;Total;-13.905613271497616
2024-01-07;Number of Transactions (In Thousand);Total;ABHA;2501.0
2024-01-07;Number of Transactions (In Thousand);Total;RIYADH;59036.0
2024-01-07;Number of Transactions Change %;Total;TABOUK;-7.941458733205374
2024-01-07;Number of Transactions Change %;Total;HAIL;-5.9284116331096195
2024-01-07;Number of Transactions Change %;Total;ABHA;-10.901318133238332
2024-01-07;Value of Transactions (In Thousand SAR);Total;KHOBAR;357525.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;MADINA;530807.0
2024-01-07;Value of Transactions (In Thousand SAR);Total;RIYADH;4103341.0
2024-01-07;Value of Transactions Change %;Total;DAMMAM;-11.425616468861579
2024-01-07;Value of Transactions Change %;Total;RIYADH;-7.852149911621319
2024-01-07;Value of Transactions Change %;Total;OTHER;-8.710871570120972
2024-01-07;Number of Transactions (In Thousand);Education;Total;97.0
2024-01-07;Number of Transactions (In Thousand);Public Utilities;Total;1705.0
2024-01-07;Number of Transactions (In Thousand);Telecommunication;Total;800.0
2024-01-07;Number of Transactions Change %;Clothing and Footwear;Total;-12.32408799016259
2024-01-07;Number of Transactions Change %;Gas Stations;Total;-2.8388401888064734
2024-01-07;Number of Transactions Change %;Public Utilities;Total;-3.508771929824561
2024-01-07;Number of Transactions Change %;Jewelry;Total;-10.727969348659004
2023-12-31;Number of Transactions (In Thousand);Health;Total;8477.0
2023-12-31;Number of Transactions Change %;Construction & Building Materials;Total;2.608142493638677
2023-12-31;Number of Transactions Change %;Education;Total;-3.64963503649635
2023-12-31;Number of Transactions Change %;Electronic & Electric Devices;Total;-2.512998266897747
2023-12-31;Number of Transactions Change %;Gas Stations;Total;-0.05391562205148941
2023-12-31;Number of Transactions Change %;Health;Total;-0.772562331733583
2023-12-31;Number of Transactions Change %;Beverage and Food;Total;-2.1096123997114313
2023-12-31;Number of Transactions (In Thousand);Total;ABHA;2807.0
2023-12-31;Number of Transactions (In Thousand);Total;JEDDAH;23865.0
2023-12-31;Number of Transactions (In Thousand);Total;RIYADH;61093.0
2023-12-31;Number of Transactions Change %;Total;DAMMAM;-0.6446120165409875
2023-12-31;Number of Transactions Change %;Total;JEDDAH;1.7523663341007931
2023-12-31;Value of Transactions (In Thousand SAR);Total;HAIL;220788.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;MADINA;567658.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;OTHER;3892630.0
2023-12-31;Value of Transactions Change %;Total;TABOUK;-11.903181150412475
2023-12-31;Value of Transactions Change %;Total;HAIL;-2.9639786931069034
2023-12-31;Value of Transactions Change %;Total;DAMMAM;-4.274569331202582
2023-12-31;Value of Transactions (In Thousand SAR);Hotels;Total;373024.0
2023-12-31;Value of Transactions Change %;Clothing and Footwear;Total;-0.1869293491787288
2023-12-31;Value of Transactions Change %;Miscellaneous Goods and Services;Total;-1.5971371021140963
2023-12-31;Value of Transactions Change %;Restaurants & Café;Total;0.3976147150721994
2023-12-31;Value of Transactions Change %;Transportation;Total;-9.080438316871074
2023-12-31;Value of Transactions (In Thousand SAR);Beverage and Food;Total;1984393.0
2023-12-31;Value of Transactions (In Thousand SAR);Transportation;Total;740438.0
2023-12-31;Value of Transactions Change %;Construction & Building Materials;Total;-8.064563592490142
2023-12-31;Value of Transactions Change %;Electronic & Electric Devices;Total;-6.12671823652926
2023-12-31;Value of Transactions Change %;Public Utilities;Total;-5.637001701507049
2023-12-31;Value of Transactions Change %;Jewelry;Total;5.2504533697399856
2023-12-31;Value of Transactions Change %;Recreation and Culture;Total;-4.22183059808349
2023-12-31;Number of Transactions (In Thousand);Total;BURAIDAH;4598.0
2023-12-31;Number of Transactions (In Thousand);Total;MADINA;8407.0
2023-12-31;Number of Transactions Change %;Total;KHOBAR;0.9184845005740528
2023-12-31;Value of Transactions (In Thousand SAR);Total;BURAIDAH;317884.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;KHOBAR;387889.0
2023-12-31;Value of Transactions Change %;Total;ABHA;-8.901505071113872
2023-12-31;Number of Transactions (In Thousand);Jewelry;Total;261.0
2023-12-31;Number of Transactions Change %;Clothing and Footwear;Total;5.796472969066204
2023-12-31;Number of Transactions Change %;Restaurants & Café;Total;0.5421337965156061
2023-12-31;Number of Transactions Change %;Transportation;Total;0.862663906142167
2023-12-31;Value of Transactions Change %;Total;MADINA;-2.503963162767052
2023-12-31;Value of Transactions Change %;Total;RIYADH;-4.127246245447763
2023-12-31;Number of Transactions (In Thousand);Construction & Building Materials;Total;1613.0
2023-12-31;Number of Transactions (In Thousand);Gas Stations;Total;14830.0
2023-12-31;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;23370.0
2023-12-31;Number of Transactions (In Thousand);Transportation;Total;2923.0
2023-12-31;Number of Transactions (In Thousand);Other;Total;28251.0
2023-12-31;Number of Transactions (In Thousand);Total;Total;198013.0
2023-12-31;Number of Transactions Change %;Hotels;Total;11.68091168091168
2023-12-31;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;374898.0
2023-12-31;Value of Transactions (In Thousand SAR);Education;Total;196468.0
2023-12-31;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;240524.0
2023-12-31;Value of Transactions (In Thousand SAR);Gas Stations;Total;853649.0
2023-12-31;Value of Transactions (In Thousand SAR);Health;Total;833323.0
2023-12-31;Value of Transactions (In Thousand SAR);Furniture;Total;348184.0
2023-12-31;Value of Transactions (In Thousand SAR);Jewelry;Total;255947.0
2023-12-31;Value of Transactions Change %;Other;Total;-5.532502053118408
2023-12-31;Value of Transactions Change %;Total;Total;-4.256931320350959
2023-12-31;Number of Transactions (In Thousand);Total;KHOBAR;4395.0
2023-12-31;Number of Transactions Change %;Total;ABHA;-3.9027730229373505
2023-12-31;Number of Transactions Change %;Total;MAKKAH;3.9399399399399395
2023-12-31;Value of Transactions (In Thousand SAR);Total;ABHA;154043.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;MAKKAH;601298.0
2023-12-31;Value of Transactions Change %;Total;MAKKAH;-2.204751046589922
2023-12-31;Value of Transactions Change %;Total;BURAIDAH;1.962369212807041
2023-12-31;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1627297.0
2023-12-31;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;347828.0
2023-12-31;Value of Transactions (In Thousand SAR);Telecommunication;Total;113582.0
2023-12-31;Value of Transactions Change %;Education;Total;2.809538511452179
2023-12-31;Value of Transactions Change %;Gas Stations;Total;1.5080258797313093
2023-12-31;Value of Transactions Change %;Health;Total;-5.045994391567068
2023-12-31;Value of Transactions Change %;Furniture;Total;-11.598360863847097
2023-12-31;Value of Transactions Change %;Beverage and Food;Total;-11.95079982890601
2023-12-31;Number of Transactions (In Thousand);Total;TABOUK;4168.0
2023-12-31;Number of Transactions (In Thousand);Total;HAIL;3576.0
2023-12-31;Number of Transactions (In Thousand);Clothing and Footwear;Total;7319.0
2023-12-31;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1125.0
2023-12-31;Number of Transactions (In Thousand);Furniture;Total;1399.0
2023-12-31;Number of Transactions (In Thousand);Hotels;Total;784.0
2023-12-31;Number of Transactions (In Thousand);Public Utilities;Total;1767.0
2023-12-31;Number of Transactions (In Thousand);Recreation and Culture;Total;2795.0
2023-12-31;Number of Transactions Change %;Furniture;Total;1.3034033309196236
2023-12-31;Number of Transactions Change %;Public Utilities;Total;-1.669449081803005
2023-12-31;Number of Transactions Change %;Recreation and Culture;Total;-6.895403064623585
2023-12-31;Number of Transactions Change %;Other;Total;-0.017695356738391847
2023-12-31;Number of Transactions (In Thousand);Total;MAKKAH;8653.0
2023-12-31;Number of Transactions Change %;Total;BURAIDAH;2.932616968882919
2023-12-31;Number of Transactions Change %;Total;RIYADH;-0.19766720031365376
2023-12-31;Number of Transactions Change %;Total;OTHER;-0.9343489299963729
2023-12-31;Value of Transactions (In Thousand SAR);Total;DAMMAM;669093.0
2023-12-31;Value of Transactions Change %;Total;OTHER;-6.434788126640642
2023-12-31;Value of Transactions (In Thousand SAR);Public Utilities;Total;124227.0
2023-12-31;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;1991213.0
2023-12-31;Value of Transactions (In Thousand SAR);Other;Total;2046371.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;Total;13393810.0
2023-12-31;Value of Transactions Change %;Hotels;Total;8.198166840700777
2023-12-31;Value of Transactions Change %;Telecommunication;Total;-7.995755469692919
2023-12-31;Number of Transactions (In Thousand);Total;DAMMAM;8169.0
2023-12-31;Number of Transactions (In Thousand);Total;OTHER;68281.0
2023-12-31;Number of Transactions Change %;Total;TABOUK;-6.083821541234791
2023-12-31;Number of Transactions Change %;Total;HAIL;-0.33444816053511706
2023-12-31;Number of Transactions Change %;Total;MADINA;1.5092972711905337
2023-12-31;Value of Transactions (In Thousand SAR);Total;TABOUK;249462.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;JEDDAH;1880069.0
2023-12-31;Value of Transactions (In Thousand SAR);Total;RIYADH;4452997.0
2023-12-31;Value of Transactions Change %;Total;KHOBAR;-2.57692471913781
2023-12-31;Value of Transactions Change %;Total;JEDDAH;-0.971862292733287
2023-12-31;Number of Transactions (In Thousand);Education;Total;132.0
2023-12-31;Number of Transactions (In Thousand);Restaurants & Café;Total;57306.0
2023-12-31;Number of Transactions (In Thousand);Beverage and Food;Total;44778.0
2023-12-31;Number of Transactions (In Thousand);Telecommunication;Total;884.0
2023-12-31;Number of Transactions Change %;Jewelry;Total;10.59322033898305
2023-12-31;Number of Transactions Change %;Miscellaneous Goods and Services;Total;1.1863526151714583
2023-12-31;Number of Transactions Change %;Telecommunication;Total;-4.017372421281216
2023-12-31;Number of Transactions Change %;Total;Total;-0.08981235273044688
2023-12-31;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;942442.0
2023-12-24;Number of Transactions (In Thousand);Gas Stations;Total;14838.0
2023-12-24;Number of Transactions (In Thousand);Public Utilities;Total;1797.0
2023-12-24;Number of Transactions (In Thousand);Jewelry;Total;236.0
2023-12-24;Number of Transactions (In Thousand);Other;Total;28256.0
2023-12-24;Number of Transactions Change %;Public Utilities;Total;14.45859872611465
2023-12-24;Number of Transactions Change %;Jewelry;Total;40.476190476190474
2023-12-24;Number of Transactions Change %;Miscellaneous Goods and Services;Total;16.99508636847171
2023-12-24;Number of Transactions Change %;Transportation;Total;28.116710875331563
2023-12-24;Number of Transactions Change %;Total;Total;15.381614950224137
2023-12-24;Number of Transactions (In Thousand);Total;ABHA;2921.0
2023-12-24;Number of Transactions (In Thousand);Total;MAKKAH;8325.0
2023-12-24;Number of Transactions (In Thousand);Total;OTHER;68925.0
2023-12-24;Number of Transactions Change %;Total;TABOUK;23.004434589800443
2023-12-24;Number of Transactions Change %;Total;HAIL;27.59601706970128
2023-12-24;Value of Transactions (In Thousand SAR);Total;ABHA;169095.0
2023-12-24;Value of Transactions (In Thousand SAR);Total;KHOBAR;398149.0
2023-12-24;Value of Transactions (In Thousand SAR);Total;RIYADH;4644695.0
2023-12-24;Value of Transactions Change %;Total;ABHA;38.9943775892681
2023-12-24;Value of Transactions Change %;Total;KHOBAR;24.298041321436823
2023-12-24;Value of Transactions Change %;Total;DAMMAM;28.517319300645553
2023-12-24;Value of Transactions (In Thousand SAR);Public Utilities;Total;131648.0
2023-12-24;Value of Transactions (In Thousand SAR);Telecommunication;Total;123453.0
2023-12-24;Value of Transactions Change %;Electronic & Electric Devices;Total;24.686485671044757
2023-12-24;Value of Transactions Change %;Public Utilities;Total;21.463302117451676
2023-12-24;Value of Transactions Change %;Telecommunication;Total;51.798295768932825
2023-12-24;Number of Transactions (In Thousand);Total;HAIL;3588.0
2023-12-24;Value of Transactions (In Thousand SAR);Education;Total;191099.0
2023-12-24;Value of Transactions (In Thousand SAR);Electronic & Electric Devices;Total;256222.0
2023-12-24;Value of Transactions (In Thousand SAR);Gas Stations;Total;840967.0
2023-12-24;Value of Transactions (In Thousand SAR);Hotels;Total;344760.0
2023-12-24;Value of Transactions (In Thousand SAR);Total;Total;13989326.0
2023-12-24;Value of Transactions Change %;Beverage and Food;Total;38.729617432519774
2023-12-24;Value of Transactions Change %;Transportation;Total;28.759031763348037
2023-12-24;Value of Transactions Change %;Total;Total;30.72831608957162
2023-12-24;Number of Transactions (In Thousand);Total;TABOUK;4438.0
2023-12-24;Number of Transactions (In Thousand);Total;MADINA;8282.0
2023-12-24;Number of Transactions Change %;Total;MADINA;18.094966490802793
2023-12-24;Number of Transactions Change %;Total;DAMMAM;13.37562051847766
2023-12-24;Number of Transactions Change %;Total;JEDDAH;12.203989857915133
2023-12-24;Number of Transactions Change %;Total;OTHER;18.68478148569067
2023-12-24;Value of Transactions Change %;Total;MAKKAH;30.8879503401766
2023-12-24;Number of Transactions (In Thousand);Construction & Building Materials;Total;1572.0
2023-12-24;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1154.0
2023-12-24;Number of Transactions (In Thousand);Furniture;Total;1381.0
2023-12-24;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;23096.0
2023-12-24;Number of Transactions (In Thousand);Recreation and Culture;Total;3002.0
2023-12-24;Number of Transactions (In Thousand);Restaurants & Café;Total;56997.0
2023-12-24;Number of Transactions (In Thousand);Transportation;Total;2898.0
2023-12-24;Number of Transactions Change %;Clothing and Footwear;Total;33.577910793589496
2023-12-24;Number of Transactions Change %;Education;Total;28.037383177570092
2023-12-24;Number of Transactions Change %;Hotels;Total;13.043478260869565
2023-12-24;Value of Transactions Change %;Total;RIYADH;23.587892327521704
2023-12-24;Value of Transactions Change %;Total;MADINA;34.51459305106008
2023-12-24;Value of Transactions Change %;Total;JEDDAH;24.2013027751846
2023-12-24;Number of Transactions (In Thousand);Total;Total;198191.0
2023-12-24;Number of Transactions Change %;Construction & Building Materials;Total;12.205567451820128
2023-12-24;Number of Transactions Change %;Health;Total;15.30570927250641
2023-12-24;Number of Transactions Change %;Recreation and Culture;Total;19.553962564715253
2023-12-24;Number of Transactions Change %;Beverage and Food;Total;12.205950891652561
2023-12-24;Number of Transactions Change %;Telecommunication;Total;41.25766871165644
2023-12-24;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;407784.0
2023-12-24;Value of Transactions (In Thousand SAR);Health;Total;877607.0
2023-12-24;Value of Transactions (In Thousand SAR);Recreation and Culture;Total;363160.0
2023-12-24;Value of Transactions Change %;Construction & Building Materials;Total;17.648552271704386
2023-12-24;Value of Transactions Change %;Health;Total;28.239684722268898
2023-12-24;Value of Transactions Change %;Furniture;Total;38.473600202507434
2023-12-24;Number of Transactions (In Thousand);Total;KHOBAR;4355.0
2023-12-24;Number of Transactions (In Thousand);Total;JEDDAH;23454.0
2023-12-24;Number of Transactions Change %;Total;MAKKAH;15.76971214017522
2023-12-24;Number of Transactions Change %;Total;KHOBAR;8.820589705147427
2023-12-24;Number of Transactions Change %;Total;RIYADH;12.232774742400352
2023-12-24;Value of Transactions (In Thousand SAR);Total;DAMMAM;698971.0
2023-12-24;Value of Transactions Change %;Total;BURAIDAH;27.618657770318674
2023-12-24;Value of Transactions (In Thousand SAR);Jewelry;Total;243179.0
2023-12-24;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1653709.0
2023-12-24;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;1983327.0
2023-12-24;Value of Transactions (In Thousand SAR);Transportation;Total;814388.0
2023-12-24;Value of Transactions (In Thousand SAR);Other;Total;2166217.0
2023-12-24;Value of Transactions Change %;Clothing and Footwear;Total;33.73222310822428
2023-12-24;Value of Transactions Change %;Gas Stations;Total;21.25105432000865
2023-12-24;Value of Transactions Change %;Hotels;Total;7.571772238395222
