Starting date;Indicator;Sectors;City;value (Multiple units)
2025-07-06;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;21444.0
2025-07-06;Number of Transactions (In Thousand);Restaurants & Café;Total;61107.0
2025-07-06;Number of Transactions (In Thousand);Transportation;Total;3020.0
2025-07-06;Number of Transactions Change %;Construction & Building Materials;Total;-1.2471655328798186
2025-07-06;Number of Transactions Change %;Health;Total;-4.561359660084978
2025-07-06;Number of Transactions Change %;Furniture;Total;-3.6532951289398286
2025-07-06;Number of Transactions Change %;Other;Total;-3.1970482223217522
2025-07-06;Number of Transactions (In Thousand);Total;ABHA;4027.0
2025-07-06;Number of Transactions (In Thousand);Total;MAKKAH;8882.0
2025-07-06;Number of Transactions (In Thousand);Total;OTHER;77339.0
2025-07-06;Number of Transactions Change %;Total;ABHA;3.5751028806584357
2025-07-06;Number of Transactions Change %;Total;MAKKAH;-0.16859615600764302
2025-07-06;Number of Transactions Change %;Total;KHOBAR;-2.681252681252681
2025-07-06;Value of Transactions Change %;Total;TABOUK;-15.466406465800208
2025-07-06;Value of Transactions Change %;Total;HAIL;-12.822023458839912
2025-07-06;Value of Transactions Change %;Total;JEDDAH;-7.943356039005669
2025-07-06;Value of Transactions Change %;Total;OTHER;-9.111311786474534
2025-07-06;Value of Transactions (In Thousand SAR);Public Utilities;Total;48432.0
2025-07-06;Value of Transactions (In Thousand SAR);Jewelry;Total;305494.0
2025-07-06;Value of Transactions (In Thousand SAR);Transportation;Total;722360.0
2025-07-06;Value of Transactions (In Thousand SAR);Total;Total;13128222.0
2025-07-06;Value of Transactions Change %;Gas Stations;Total;-2.570157264795806
2025-07-06;Value of Transactions Change %;Health;Total;-7.6061833664229885
2025-07-06;Value of Transactions Change %;Hotels;Total;7.986852853981537
2025-07-06;Value of Transactions Change %;Jewelry;Total;-7.868848503857219
2025-07-06;Value of Transactions Change %;Recreation and Culture;Total;-9.695678763534268
2025-07-06;Value of Transactions Change %;Restaurants & Café;Total;-1.6713657993234887
2025-07-06;Value of Transactions Change %;Telecommunication;Total;-13.564552869424645
2025-07-06;Number of Transactions Change %;Total;HAIL;-5.293140280085449
2025-07-06;Number of Transactions Change %;Total;BURAIDAH;-3.581634597066108
2025-07-06;Value of Transactions (In Thousand SAR);Total;BURAIDAH;317984.0
2025-07-06;Value of Transactions (In Thousand SAR);Total;KHOBAR;357804.0
2025-07-06;Value of Transactions (In Thousand SAR);Total;MADINA;515483.0
2025-07-06;Value of Transactions (In Thousand SAR);Total;RIYADH;4471019.0
2025-07-06;Value of Transactions Change %;Total;MADINA;-7.327399454552973
2025-07-06;Number of Transactions (In Thousand);Construction & Building Materials;Total;1742.0
2025-07-06;Number of Transactions (In Thousand);Health;Total;7637.0
2025-07-06;Number of Transactions (In Thousand);Jewelry;Total;251.0
2025-07-06;Number of Transactions (In Thousand);Recreation and Culture;Total;2229.0
2025-07-06;Number of Transactions (In Thousand);Total;Total;223571.0
2025-07-06;Number of Transactions Change %;Gas Stations;Total;-1.1841640155531992
2025-07-06;Number of Transactions Change %;Jewelry;Total;-10.99290780141844
2025-06-29;Number of Transactions (In Thousand);Clothing and Footwear;Total;7029.0
2025-06-29;Number of Transactions (In Thousand);Construction & Building Materials;Total;1764.0
2025-06-29;Number of Transactions (In Thousand);Electronic & Electric Devices;Total;1612.0
2025-06-29;Number of Transactions (In Thousand);Public Utilities;Total;740.0
2025-06-29;Number of Transactions (In Thousand);Miscellaneous Goods and Services;Total;23652.0
2025-06-29;Number of Transactions (In Thousand);Beverage and Food;Total;51918.0
2025-06-29;Number of Transactions (In Thousand);Transportation;Total;3202.0
2025-06-29;Number of Transactions Change %;Gas Stations;Total;-1.1530398322851152
2025-06-29;Number of Transactions Change %;Public Utilities;Total;7.246376811594203
2025-06-29;Number of Transactions Change %;Other;Total;7.538990825688073
2025-06-29;Number of Transactions Change %;Total;Total;4.790136029679203
2025-06-29;Number of Transactions (In Thousand);Total;ABHA;3888.0
2025-06-29;Number of Transactions (In Thousand);Total;RIYADH;73230.0
2025-06-29;Number of Transactions Change %;Total;MADINA;6.074713296241626
2025-06-29;Number of Transactions Change %;Total;JEDDAH;5.359327217125382
2025-06-29;Value of Transactions (In Thousand SAR);Total;KHOBAR;387482.0
2025-06-29;Value of Transactions Change %;Total;TABOUK;0.09623291237418805
2025-06-29;Value of Transactions Change %;Total;MAKKAH;13.714770258095289
2025-06-29;Value of Transactions Change %;Total;MADINA;7.799270150795451
2025-06-29;Value of Transactions Change %;Total;DAMMAM;1.0192988032187444
2025-06-29;Value of Transactions Change %;Total;OTHER;5.1697115983793145
2025-06-29;Value of Transactions (In Thousand SAR);Jewelry;Total;331586.0
2025-06-29;Value of Transactions Change %;Miscellaneous Goods and Services;Total;8.6365312444659
2025-06-29;Value of Transactions Change %;Beverage and Food;Total;6.880241381286516
2025-06-29;Value of Transactions Change %;Other;Total;7.258755620602441
2025-06-29;Value of Transactions (In Thousand SAR);Construction & Building Materials;Total;343554.0
2025-06-29;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1791273.0
2025-06-29;Value of Transactions (In Thousand SAR);Restaurants & Café;Total;1953552.0
2025-06-29;Value of Transactions (In Thousand SAR);Telecommunication;Total;136090.0
2025-06-29;Value of Transactions (In Thousand SAR);Other;Total;2878692.0
2025-06-29;Value of Transactions Change %;Public Utilities;Total;8.836239865381673
2025-06-29;Value of Transactions Change %;Jewelry;Total;-5.986657253594404
2025-06-29;Value of Transactions Change %;Recreation and Culture;Total;-2.3295277140491155
2025-06-29;Value of Transactions Change %;Restaurants & Café;Total;3.5465127989305865
2025-06-29;Number of Transactions (In Thousand);Total;TABOUK;4951.0
2025-06-29;Number of Transactions Change %;Total;TABOUK;2.9742096505823628
2025-06-29;Value of Transactions (In Thousand SAR);Total;BURAIDAH;341758.0
2025-06-29;Value of Transactions Change %;Total;BURAIDAH;4.275261940649161
2025-06-29;Number of Transactions (In Thousand);Furniture;Total;1396.0
2025-06-29;Number of Transactions (In Thousand);Jewelry;Total;282.0
2025-06-29;Number of Transactions (In Thousand);Telecommunication;Total;2356.0
2025-06-29;Number of Transactions (In Thousand);Total;Total;230488.0
2025-06-29;Number of Transactions Change %;Construction & Building Materials;Total;6.779661016949152
2025-06-29;Number of Transactions Change %;Electronic & Electric Devices;Total;0.18645121193287756
2025-06-29;Number of Transactions Change %;Hotels;Total;17.941176470588236
2025-06-29;Number of Transactions Change %;Jewelry;Total;0.7142857142857143
2025-06-29;Number of Transactions Change %;Restaurants & Café;Total;2.727151121961007
2025-06-29;Number of Transactions (In Thousand);Hotels;Total;802.0
2025-06-29;Number of Transactions Change %;Clothing and Footwear;Total;13.701067615658364
2025-06-29;Number of Transactions Change %;Education;Total;-5.084745762711865
2025-06-29;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;892607.0
2025-06-29;Value of Transactions (In Thousand SAR);Transportation;Total;776283.0
